nom;code;securité;éducation;sports et loisirs;environnement;vie pratique;densité de population h/km2;taux de chômage;age moyen des habitants
Auvergne-Rhône-Alpes;84;3,3;3,5;3,4;3,5;3,2;165;4;44
Bourgogne-Franche-Comté;27;3,5;3,4;3,3;3,6;3,1;65;4;44
Bretagne;53;3,6;3,7;3,6;3,8;3,4;153;4;43
Centre-Val de Loire;24;3,6;3,5;3,2;3,6;3,1;83;5;44
Corse;94;4,3;3,2;3,1;3,7;3;43;6;51
Grand-Est;44;3,4;3,5;3,3;3,5;3,2;106;5;43
Guadeloupe;1;;;;;;;;
Guyane;3;;;;;;;;
Hauts-de-France;32;3,4;3,5;3,3;3,3;3,2;184;6;41
Île-de-France;11;3,1;3,4;3,5;3,2;3,3;1465;5;40
Provence-Alpes-Côte d'Azur;93;3,1;3,3;3,3;3,2;3,2;191;5;46
La Réunion;4;;;;;;;;
Martinique;2;;;;;;;;
Normandie;28;3,6;3,5;3,3;3,5;3,2;124;4;42
Nouvelle-Aquitaine;75;3,5;3,5;3,4;3,6;3,2;85;5;46
Occitanie;76;3,2;3,4;3,3;3,4;3,1;85;5;46
Pays de la Loire;52;3,4;3,7;3,5;3,7;3,4;119;4;41
